0,0.03,8.3,0.1
0.1,0.03,8.3,0.1
0.33,0.03,8.2,0.1
0.41,0.03,8.2,0.1
0.55,0.03,8.2,0.1
0.71,0.03,8.2,0.1
0.95,0.03,8.3,0.1
1.1,0.03,8.3,0.1
1.2,0.03,8.3,0.1
1.41,0.03,8.4,0.1
1.5,0.03,8.4,0.1
1.65,0.03,8.5,0.1
1.75,0.03,8.6,0.1
1.84,0.03,8.7,0.1
1.98,0.03,8.9,0.1
2.14,0.03,9.6,0.1
2.36,0.03,12.1,0.1
2.65,0.03,17.2,0.1
2.85,0.03,20.8,0.1
2.96,0.03,22.6,0.1
3.05,0.03,24.6,0.1
3.21,0.03,27.8,0.1
3.3,0.03,29.8,0.1
3.41,0.03,31.6,0.1
3.56,0.03,34.7,0.1
3.81,0.03,39.8,0.1
3.89,0.03,41.2,0.1
3.99,0.03,43,0.1
4.06,0.03,44.2,0.1
4.31,0.03,48.6,0.1
4.41,0.03,49.9,0.1
4.49,0.03,51,0.1
4.64,0.03,52.9,0.1
4.75,0.03,54,0.1
4.92,0.03,55.2,0.1
5.01,0.03,55.7,0.1
5.15,0.03,56.1,0.2
5.29,0.03,55.9,0.1
5.44,0.03,55.6,0.1
5.62,0.03,54.4,0.1
5.79,0.03,52.8,0.1
6.01,0.03,50.7,0.1
6.15,0.03,48.5,0.1
6.28,0.03,46.2,0.1
6.49,0.03,43.3,0.1
6.59,0.03,41.2,0.1
6.8,0.03,37,0.1
6.94,0.03,34.4,0.1
7.04,0.03,32.3,0.1
7.22,0.03,28.5,0.1
7.36,0.03,25.7,0.1
7.44,0.03,24.2,0.1
7.64,0.03,19.7,0.1
7.8,0.03,16.7,0.1
7.93,0.03,14.8,0.1
8.05,0.03,12.7,0.1
8.17,0.03,10.7,0.1
8.24,0.03,9.8,0.1
8.39,0.03,9.5,0.1
8.54,0.03,9.5,0.1
